url_length,domain_length,path_length,num_dots,num_hyphens,num_subdomains,has_https,has_ip,has_at_symbol,num_special_chars,digits_in_domain,suspicious_tld,has_login,has_verify,has_secure,has_account,has_update,has_query,label
25,9,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,6,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
84,37,13,4,2,4,0,0,0,5,0,1,1,0,1,0,0,1,1
27,11,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
29,13,8,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0
35,14,14,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
19,6,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
35,13,6,2,0,2,1,0,0,3,0,0,1,0,0,0,0,1,0
27,15,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
37,16,5,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
34,10,8,1,0,1,1,0,0,3,0,0,0,0,0,1,0,1,0
62,40,14,5,0,5,1,0,0,1,0,0,0,0,1,1,1,0,1
26,13,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
29,16,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
31,17,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
39,15,8,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
36,15,14,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
54,33,13,1,3,1,1,0,0,1,0,1,1,0,1,1,0,0,1
30,17,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
61,39,15,3,2,3,0,0,0,1,0,1,0,0,0,0,0,0,1
86,40,12,6,0,6,0,0,0,5,0,1,1,0,0,0,1,1,1
94,48,12,6,0,6,0,0,0,5,0,0,0,0,1,1,1,1,1
36,13,16,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
39,12,20,3,0,3,0,1,0,1,9,0,1,0,0,0,0,0,1
35,13,15,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
27,10,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
33,14,12,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
83,31,17,3,0,3,1,0,0,5,0,1,0,1,0,0,0,1,1
26,14,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
64,42,15,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1
60,38,15,4,2,4,0,0,0,1,0,1,0,0,0,0,1,0,1
23,11,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32,16,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
92,43,15,5,0,5,0,0,0,5,0,0,0,0,0,0,0,1,1
38,13,9,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
27,11,8,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,18,8,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
25,9,8,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
37,14,16,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
102,54,14,7,0,7,0,0,0,5,0,1,1,0,0,0,1,1,1
45,21,8,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
31,15,8,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
24,11,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
34,13,14,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
88,36,17,1,0,1,1,0,0,5,0,1,0,0,0,1,0,1,1
37,13,8,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
30,14,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
24,11,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
90,41,15,4,2,4,0,0,0,5,0,1,1,1,0,1,0,1,1
82,33,15,2,0,2,0,0,0,5,0,1,1,0,0,1,0,1,1
83,34,15,4,0,4,0,0,0,5,0,1,1,1,0,1,0,1,1
68,50,11,6,0,6,0,0,0,1,0,0,1,1,0,0,0,0,1
94,46,14,6,0,6,0,0,0,5,0,1,0,0,0,0,0,1,1
46,28,11,4,0,4,0,0,0,1,0,0,1,0,0,0,1,0,1
26,13,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
61,41,13,3,2,3,0,0,0,1,0,1,1,0,1,0,0,0,1
29,15,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
56,33,15,4,0,4,1,0,0,1,0,1,0,0,0,1,0,0,1
72,26,12,1,0,1,0,0,0,5,0,1,0,0,0,0,1,1,1
26,10,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
78,31,13,3,0,3,0,0,0,5,0,1,1,0,1,1,0,1,1
88,41,13,5,0,5,0,0,0,5,0,1,1,0,1,0,0,1,1
46,27,12,4,0,4,0,0,0,1,0,1,1,0,0,1,1,0,1
33,17,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
20,11,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
20,11,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,18,1,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
23,10,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
64,42,14,3,2,3,1,0,0,1,0,1,1,0,0,0,0,0,1
83,33,15,1,3,1,1,0,0,5,0,1,0,0,0,1,1,1,1
26,14,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
65,47,11,6,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1
34,17,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
90,38,17,3,2,3,1,0,0,5,0,1,0,0,0,0,0,1,1
65,42,15,3,2,3,1,0,0,1,0,0,0,1,0,1,0,0,1
29,13,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
37,12,9,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
34,14,13,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
39,17,6,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
61,36,17,3,2,3,1,0,0,1,0,1,0,1,0,0,0,0,1
38,15,16,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
30,9,5,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
26,9,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
97,52,11,7,0,7,0,0,0,5,0,1,1,0,0,0,1,1,1
51,29,15,2,0,2,0,0,0,1,0,1,0,0,1,1,0,0,1
55,35,12,4,0,4,1,0,0,1,0,1,0,1,0,0,1,0,1
63,41,15,6,0,6,0,0,0,1,0,1,0,1,0,1,1,0,1
35,14,5,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
76,54,15,7,0,7,0,0,0,1,0,1,1,0,0,1,0,0,1
27,13,6,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
31,18,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
60,38,15,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1
49,27,15,3,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1
53,30,15,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
92,41,17,5,0,5,0,0,0,5,0,1,0,0,1,0,0,1,1
32,13,12,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
88,41,13,3,2,3,0,0,0,5,0,1,1,0,1,0,0,1,1
32,13,12,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
30,17,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
77,28,14,1,0,1,1,0,0,5,0,0,0,1,0,0,0,1,1
24,11,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98,49,15,3,2,3,0,0,0,5,0,1,0,0,1,0,0,1,1
92,43,15,4,2,4,0,0,0,5,0,0,0,1,0,0,0,1,1
76,54,15,6,0,6,0,0,0,1,0,1,1,0,0,0,0,0,1
96,47,15,3,2,3,0,0,0,5,0,0,0,0,0,0,0,1,1
56,36,12,3,2,3,1,0,0,1,0,1,0,0,0,0,1,0,1
68,44,17,6,0,6,0,0,0,1,0,1,1,0,0,0,0,0,1
37,15,6,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
37,15,6,2,0,2,1,0,0,3,0,0,1,0,0,0,0,1,0
70,48,15,4,2,4,0,0,0,1,0,1,0,0,0,1,0,0,1
64,42,15,5,0,5,0,0,0,1,0,1,0,0,0,1,0,0,1
82,35,13,3,2,3,0,0,0,5,0,1,1,0,1,0,0,1,1
35,11,8,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
67,45,15,3,2,3,0,0,0,1,0,1,0,0,0,0,0,0,1
19,6,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
89,40,15,3,2,3,0,0,0,5,0,1,0,1,0,0,0,1,1
34,17,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
23,10,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
33,16,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
23,11,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32,11,5,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
33,17,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
27,11,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,13,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
15,6,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
38,21,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
27,10,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
31,10,5,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
82,36,11,5,0,5,1,0,0,5,0,1,1,1,0,0,0,1,1
39,26,5,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
36,14,6,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
37,15,15,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
33,21,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
40,15,9,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
61,40,14,4,0,4,0,0,0,1,0,1,0,0,1,0,1,0,1
24,11,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
24,15,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
80,58,15,7,0,7,0,0,0,1,0,1,0,0,0,1,0,0,1
28,12,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
61,39,15,3,2,3,0,0,0,1,0,1,0,0,1,0,0,0,1
23,14,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
55,31,17,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1
97,48,15,6,0,6,0,0,0,5,0,1,0,0,0,0,0,1,1
23,10,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
96,45,17,4,2,4,0,0,0,5,0,1,0,0,0,0,0,1,1
34,10,8,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
60,38,15,4,2,4,0,0,0,1,0,1,0,1,0,1,0,0,1
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
66,44,15,1,3,1,0,0,0,1,0,1,0,1,0,1,0,0,1
57,34,15,3,2,3,1,0,0,1,0,1,0,0,0,0,1,0,1
27,18,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
35,12,16,3,0,3,0,1,0,1,9,0,1,0,0,0,0,0,1
29,13,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
62,41,14,4,2,4,0,0,0,1,0,1,0,0,0,1,1,0,1
26,12,6,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
35,11,8,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
52,29,15,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,1
50,32,11,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1
29,15,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
35,21,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
27,14,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
23,9,6,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
84,32,17,4,0,4,1,0,0,5,0,1,0,0,0,0,0,1,1
68,45,15,5,0,5,1,0,0,1,0,1,0,1,0,1,0,0,1
22,10,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
27,10,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
17,8,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,9,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,6,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
35,11,8,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
29,12,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
62,44,11,4,2,4,0,0,0,1,0,1,1,1,0,0,0,0,1
62,43,12,6,0,6,0,0,0,1,0,1,0,1,0,0,1,0,1
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,14,13,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
37,14,16,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
21,9,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
56,34,15,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1
25,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
90,41,15,1,3,1,0,0,0,5,0,1,1,0,0,0,0,1,1
31,11,4,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
26,10,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
64,42,15,6,0,6,0,0,0,1,0,1,0,0,1,0,0,0,1
62,40,14,3,2,3,1,0,0,1,0,1,0,0,1,0,1,0,1
52,30,15,2,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1
65,45,13,6,0,6,0,0,0,1,0,1,1,1,1,0,1,0,1
35,21,6,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
28,15,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
36,15,14,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
80,31,15,1,0,1,0,0,0,5,0,1,0,0,0,0,1,1,1
64,42,15,1,3,1,0,0,0,1,0,1,0,0,1,0,0,0,1
34,13,14,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
36,13,16,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
30,9,6,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
63,44,12,6,0,6,0,0,0,1,0,1,1,0,1,0,1,0,1
32,15,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
31,12,12,3,0,3,0,1,0,1,9,0,1,0,0,0,0,0,1
32,15,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
30,14,8,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0
51,28,15,4,0,4,1,0,0,1,0,1,1,1,0,0,0,0,1
25,9,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
102,52,15,6,0,6,1,0,0,5,0,1,0,0,1,0,0,1,1
28,14,6,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
36,13,16,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
23,10,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
30,14,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
37,15,15,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
25,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
34,17,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
27,14,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
53,31,15,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1
37,14,16,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
34,15,12,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
24,11,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
56,36,12,3,2,3,1,0,0,1,0,0,1,0,0,0,1,0,1
83,38,11,4,2,4,0,0,0,5,0,1,1,0,0,0,1,1,1
32,15,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
29,13,8,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0
66,45,14,3,2,3,0,0,0,1,0,1,0,0,0,0,0,0,1
45,22,15,1,2,1,1,0,0,1,0,1,0,0,0,0,1,0,1
26,13,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,10,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
30,17,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
26,9,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
27,15,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
65,46,12,6,0,6,0,0,0,1,0,1,0,0,0,1,1,0,1
45,24,14,2,0,2,0,0,0,1,0,1,0,1,1,0,1,0,1
51,30,14,4,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1
77,28,15,4,0,4,0,0,0,5,0,0,1,0,1,0,0,1,1
17,8,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
38,13,9,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
35,15,13,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
80,34,12,1,0,1,0,0,0,5,0,1,0,0,0,0,1,1,1
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
36,15,14,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
35,14,14,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
23,9,6,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
36,16,4,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
65,40,17,3,2,3,1,0,0,1,0,1,0,0,0,0,1,0,1
87,38,15,5,0,5,0,0,0,5,0,1,1,0,0,1,0,1,1
27,13,6,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
35,14,14,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
23,10,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
89,42,13,3,2,3,0,0,0,5,0,1,1,0,1,0,0,1,1
23,6,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32,11,5,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
51,32,11,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1
37,15,15,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
81,59,15,6,0,6,0,0,0,1,0,1,0,0,0,0,0,0,1
60,37,15,3,2,3,1,0,0,1,0,1,0,1,1,1,0,0,1
34,13,14,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
37,13,8,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
29,13,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,13,14,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
40,15,9,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
32,12,13,3,0,3,0,1,0,1,9,0,1,0,0,0,0,0,1
75,26,15,3,0,3,0,0,0,5,0,1,1,0,0,0,0,1,1
28,15,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
69,46,15,6,0,6,1,0,0,1,0,1,0,1,0,0,1,0,1
28,15,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,17,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
35,14,14,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
61,39,15,5,0,5,0,0,0,1,0,1,0,0,0,1,0,0,1
48,23,17,3,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,10,8,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
93,43,15,3,2,3,1,0,0,5,0,0,0,1,0,1,0,1,1
30,18,4,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
34,17,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
25,12,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
85,37,14,3,2,3,0,0,0,5,0,1,0,0,1,0,1,1,1
71,24,12,1,2,1,1,0,0,5,0,1,1,0,0,0,1,1,1
34,14,13,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
88,37,17,5,0,5,0,0,0,5,0,0,0,0,0,0,0,1,1
50,29,14,2,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1
33,16,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
33,20,5,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
59,37,15,5,0,5,0,0,0,1,0,1,0,1,0,1,1,0,1
42,26,8,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0
58,36,14,3,2,3,1,0,0,1,0,1,0,0,0,0,1,0,1
61,39,15,5,0,5,0,0,0,1,0,1,0,1,1,1,0,0,1
25,9,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
41,17,9,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
91,43,13,3,2,3,1,0,0,5,0,1,1,1,1,0,0,1,1
55,35,13,4,0,4,0,0,0,1,0,1,1,0,1,0,0,0,1
36,15,14,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
37,17,4,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
80,31,15,3,0,3,0,0,0,5,0,1,0,1,0,1,0,1,1
62,43,11,5,0,5,1,0,0,1,0,1,1,1,0,0,0,0,1
31,15,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
56,36,13,5,0,5,0,0,0,1,0,1,1,0,1,0,0,0,1
53,35,11,5,0,5,0,0,0,1,0,1,1,1,0,0,0,0,1
22,9,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
73,51,15,6,0,6,0,0,0,1,0,1,1,1,0,1,0,0,1
34,17,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
35,18,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
33,11,6,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
86,40,12,6,0,6,0,0,0,5,0,1,0,1,0,0,1,1,1
34,13,14,3,0,3,0,1,0,1,10,0,1,0,0,0,0,0,1
73,51,15,7,0,7,0,0,0,1,0,0,1,1,0,1,1,0,1
20,6,6,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32,15,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
22,9,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
31,14,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
27,11,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
26,13,5,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
96,49,13,3,2,3,0,0,0,5,0,0,1,0,1,0,0,1,1
61,39,15,2,3,2,0,0,0,1,0,1,0,0,0,0,0,0,1
61,38,15,3,2,3,1,0,0,1,0,1,0,1,0,1,0,0,1
30,10,5,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
66,41,17,3,2,3,1,0,0,1,0,1,0,0,0,0,1,0,1
80,31,14,4,0,4,1,0,0,5,0,1,0,0,1,1,1,1,1
30,17,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
29,16,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
34,18,8,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0
37,14,16,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
36,15,14,3,0,3,0,1,0,1,12,0,1,0,0,0,0,0,1
35,18,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
99,49,15,6,0,6,1,0,0,5,0,1,0,0,0,1,0,1,1
64,42,15,5,0,5,0,0,0,1,0,1,0,0,0,1,0,0,1
28,11,9,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
90,43,13,3,2,3,0,0,0,5,0,0,1,0,1,0,0,1,1
39,26,5,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
21,9,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
22,10,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
63,41,15,6,0,6,0,0,0,1,0,1,0,1,0,0,0,0,1
34,21,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
31,15,8,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
41,14,20,3,0,3,0,1,0,1,11,0,1,0,0,0,0,0,1
27,15,4,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
93,44,15,5,0,5,0,0,0,5,0,1,0,1,1,1,0,1,1
37,17,4,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0
26,9,9,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
62,40,15,4,2,4,0,0,0,1,0,1,0,0,1,0,0,0,1
26,13,5,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
22,6,8,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
37,13,8,2,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0
